Name,Arrival,"Opening seremony",,Practice1,Pr1T,,Engineering,EnT,,"Project &
Core values",,,LUNCH,,Practice2,Pr2T,,"RobotgameRound1",Rg1T,,Practice3,Pr3T
Robo Team, 8:00,9:00 - 9:45,, 11:00,F,, 10:00,C,, 11:30,AR1,, 12:40,, 12:20,B,, 14:50,A,, 15:40,A
Koirajengi, 8:00,9:00 - 9:45,, 10:40,F,, 11:00,C,, 11:30,AR2,, 12:20,, 13:20,B,, 14:50,B,, 16:00,A
RoboMobot, 8:00,9:00 - 9:45,, 11:40,F,, 10:20,C,, 13:10,AR1,, 11:00,, 12:40,B,, 15:10,A,, 16:20,A
Team Pandat, 8:00,9:00 - 9:45,, 11:20,F,, 10:40,C,, 14:10,AR1,, 11:40,, 13:20,F,, 15:10,B,, 16:40,E
Orange Flamingos, 8:00,9:00 - 9:45,, 10:00,F,, 13:40,C,, 12:40,AR1,, 11:30,, 12:20,F,, 15:30,A,, 16:20,B
--, 8:00,9:00 - 9:45,, 10:20,F,, 11:20,C,, 14:10,AR2,, 11:50,, 13:00,B,, 15:30,B,, 16:00,B
Super Animals Seven, 8:00,9:00 - 9:45,, 10:40,B,, 14:00,C,, 10:00,AR1,, 12:40,, 12:00,B,, 15:00,A,, 15:40,B
Team Jekut, 8:00,9:00 - 9:45,, 11:20,B,, 12:00,C,, 13:10,AR2,, 12:20,, 14:00,B,, 15:00,B,, 15:20,E
The Beavers, 8:00,9:00 - 9:45,, 11:00,B,, 12:20,C,, 10:00,AR2,, 11:20,, 12:40,F,, 14:40,A,, 15:00,E
Rabuset, 8:00,9:00 - 9:45,, 11:40,B,, 12:40,C,, 10:30,AR1,, 12:00,, 13:00,F,, 14:40,B,, 15:40,C
Robo Build, 8:00,9:00 - 9:45,, 10:00,B,, 13:00,C,, 11:30,AR3,, 12:10,, 14:00,F,, 15:20,A,, 16:00,C
Hamsukingit , 8:00,9:00 - 9:45,, 10:20,B,, 13:20,C,, 11:00,AR1,, 12:20,, 12:00,F,, 15:20,B,, 16:20,C
Ryhmä Robottiset, 8:00,9:00 - 9:45,, 11:00,D,, 10:00,A,, 13:40,AR1,, 12:40,, 12:20,E,, 15:10,C,, 16:40,F
Walley 2.0, 8:00,9:00 - 9:45,, 10:40,D,, 11:00,A,, 13:10,AR3,, 12:20,, 14:00,E,, 15:10,D,, 16:20,D
Ankka Legot, 8:00,9:00 - 9:45,, 11:40,D,, 10:20,A,, 13:40,AR2,, 11:00,, 13:00,E,, 14:50,C,, 16:00,D
The Swansons , 8:00,9:00 - 9:45,, 11:20,D,, 10:40,A,, 12:40,AR2,, 11:40,, 13:40,E,, 14:50,D,, 15:40,D
Team Robortti Rubertti, 8:00,9:00 - 9:45,, 10:00,D,, 14:00,A,, 12:40,AR3,, 11:10,, 12:00,E,, 15:00,C,, 15:40,E
Robotti Kuusikot, 8:00,9:00 - 9:45,, 10:20,D,, 11:20,A,, 14:10,AR3,, 11:50,, 12:40,E,, 15:00,D,, 15:20,F
Septetti, 8:00,9:00 - 9:45,, 10:40,E,, 11:40,A,, 13:40,AR3,, 12:40,, 12:20,D,, 15:30,C,, 16:20,E
--, 8:00,9:00 - 9:45,, 11:20,E,, 12:00,A,, 10:30,AR2,, 12:20,, 13:40,F,, 15:30,D,, 16:00,E
Leirikotkat, 8:00,9:00 - 9:45,, 11:00,E,, 12:40,A,, 10:00,AR3,, 11:20,, 13:20,D,, 15:20,C,, 16:20,F
Lego Robotics, 8:00,9:00 - 9:45,, 11:40,E,, 13:20,A,, 10:30,AR3,, 12:00,, 14:00,D,, 15:20,D,, 16:00,F
Eagle camp, 8:00,9:00 - 9:45,, 10:00,E,, 13:00,A,, 11:00,AR2,, 12:10,, 13:40,D,, 14:40,C,, 15:40,F
Team Rescue, 8:00,9:00 - 9:45,, 10:20,E,, 13:40,A,, 11:00,AR3,, 12:20,, 12:00,D,, 14:40,D,, 15:00,F
